5/9/2024 2:09:18 PM - Start Exporting to json only
5/9/2024 2:09:18 PM - Start Exporting userInfo
5/9/2024 2:10:58 PM - The request was canceled due to the configured HttpClient.Timeout of 100 seconds elapsing.
5/9/2024 2:12:17 PM - Start Exporting to json only
5/9/2024 2:12:17 PM - Start Exporting userInfo
5/9/2024 2:18:24 PM - Start Exporting to json only
5/9/2024 2:18:24 PM - Start Exporting userInfo
5/9/2024 2:22:16 PM - Start Exporting to json only
5/9/2024 2:22:16 PM - Start Exporting userInfo
5/9/2024 2:27:53 PM - Start Exporting to json only
5/9/2024 2:27:53 PM - Start Exporting userInfo
5/9/2024 2:36:11 PM - Start Exporting to json only
5/9/2024 2:36:11 PM - Start Exporting userInfo
5/9/2024 2:42:25 PM - Start Exporting to json only
5/9/2024 2:42:25 PM - Start Exporting userInfo
5/9/2024 2:43:21 PM - Object reference not set to an instance of an object.
5/9/2024 2:47:19 PM - Start Exporting to json only
5/9/2024 2:47:19 PM - Start Exporting userInfo
5/9/2024 2:48:16 PM - Object reference not set to an instance of an object.
5/9/2024 2:48:36 PM - Start Exporting to json only
5/9/2024 2:48:36 PM - Start Exporting userInfo
5/9/2024 2:49:36 PM - Object reference not set to an instance of an object.
5/9/2024 2:50:59 PM - Start Exporting to json only
5/9/2024 2:50:59 PM - Start Exporting userInfo
5/9/2024 5:52:19 PM - Start Exporting to json only
5/9/2024 5:52:19 PM - Start Exporting userInfo
5/9/2024 5:54:37 PM - Start Exporting to json only
5/9/2024 5:54:37 PM - Start Exporting userInfo
5/9/2024 5:54:55 PM - Start Exporting to json only
5/9/2024 5:54:55 PM - Start Exporting userInfo
5/9/2024 5:55:38 PM - End Exporting userInfo
5/9/2024 5:55:38 PM - *******************************************************
5/9/2024 5:55:38 PM - Start Exporting AccountSummary
5/9/2024 5:55:38 PM - Start Exporting AccountSummary for All
5/9/2024 5:56:00 PM - End Exporting userInfo
5/9/2024 5:56:00 PM - *******************************************************
5/9/2024 5:56:00 PM - Start Exporting AccountSummary
5/9/2024 5:56:00 PM - Start Exporting AccountSummary for All
5/9/2024 5:57:03 PM - End Exporting AccountSummary for All
5/9/2024 5:57:03 PM - Start Exporting AccountSummary for PreviousDay
5/9/2024 5:57:33 PM - End Exporting AccountSummary for PreviousDay
5/9/2024 5:57:33 PM - Start Exporting AccountSummary for Last7Days
5/9/2024 5:57:40 PM - The request was canceled due to the configured HttpClient.Timeout of 100 seconds elapsing.
5/9/2024 5:58:15 PM - End Exporting AccountSummary for Last7Days
5/9/2024 5:58:15 PM - Start Exporting AccountSummary for Last30Days
5/9/2024 5:58:47 PM - End Exporting AccountSummary for Last30Days
5/9/2024 5:58:47 PM - Start Exporting AccountSummary for Last60Days
5/9/2024 5:59:29 PM - Start Exporting to json only
5/9/2024 5:59:29 PM - Start Exporting userInfo
5/9/2024 5:59:32 PM - End Exporting AccountSummary for Last60Days
5/9/2024 5:59:32 PM - Start Exporting AccountSummary for Last90Days
5/9/2024 6:00:42 PM - End Exporting AccountSummary for Last90Days
5/9/2024 6:00:42 PM - Start Exporting AccountSummary for Last180Days
5/9/2024 6:01:40 PM - End Exporting AccountSummary for Last180Days
5/9/2024 6:01:40 PM - Start Exporting AccountSummary for Last360Days
5/9/2024 6:02:41 PM - End Exporting AccountSummary for Last360Days
5/9/2024 6:02:41 PM - Start Exporting AccountSummary for PreviousFY
5/9/2024 6:03:37 PM - End Exporting AccountSummary for PreviousFY
5/9/2024 6:03:37 PM - Start Exporting AccountSummary for CurrentFY
5/9/2024 6:04:10 PM - End Exporting AccountSummary for CurrentFY
5/9/2024 6:04:10 PM - Start Exporting AccountSummary for FY2324
5/9/2024 6:05:13 PM - End Exporting AccountSummary for FY2324
5/9/2024 6:05:14 PM - Start Exporting AccountSummary for CurrentWeek
5/9/2024 6:05:26 PM - End Exporting AccountSummary for CurrentWeek
5/9/2024 6:05:26 PM - Start Exporting AccountSummary for CurrentMonth
5/9/2024 6:05:53 PM - End Exporting AccountSummary for CurrentMonth
5/9/2024 6:05:53 PM - Start Exporting AccountSummary for PreviousMonth
5/9/2024 6:06:31 PM - End Exporting AccountSummary for PreviousMonth
5/9/2024 6:06:31 PM - End Exporting AccountSummary
5/9/2024 6:06:32 PM - *******************************************************
5/9/2024 6:06:32 PM - ####################################################################
5/9/2024 6:06:32 PM - Start Exporting Detail Summary
5/9/2024 6:06:44 PM - Details Exporting for 0724301d
5/9/2024 6:06:51 PM - End Exporting for 0724301d
5/9/2024 6:06:51 PM - Details Exporting for 08fc4f78
5/9/2024 6:06:55 PM - End Exporting for 08fc4f78
5/9/2024 6:06:55 PM - Details Exporting for 1percentileclub
5/9/2024 6:07:01 PM - End Exporting for 1percentileclub
5/9/2024 6:07:01 PM - Details Exporting for 21_abhinav
5/9/2024 6:07:04 PM - End Exporting for 21_abhinav
5/9/2024 6:07:04 PM - Details Exporting for 258b7c5e
5/9/2024 6:07:09 PM - End Exporting for 258b7c5e
5/9/2024 6:07:09 PM - Details Exporting for 2addaded
5/9/2024 6:07:15 PM - End Exporting for 2addaded
5/9/2024 6:07:15 PM - Details Exporting for 34b8c271
5/9/2024 6:07:22 PM - End Exporting for 34b8c271
5/9/2024 6:07:22 PM - Details Exporting for 3c540be2
5/9/2024 6:07:27 PM - End Exporting for 3c540be2
5/9/2024 6:07:27 PM - Details Exporting for 43ba598b
5/9/2024 6:07:31 PM - End Exporting for 43ba598b
5/9/2024 6:07:31 PM - Details Exporting for 63b0b789
5/9/2024 6:07:34 PM - End Exporting for 63b0b789
5/9/2024 6:07:34 PM - Details Exporting for 669128b6
5/9/2024 6:07:38 PM - End Exporting for 669128b6
5/9/2024 6:07:38 PM - Details Exporting for 682ac65a
5/9/2024 6:07:43 PM - End Exporting for 682ac65a
5/9/2024 6:07:43 PM - Details Exporting for 6f3eb971
5/9/2024 6:07:48 PM - End Exporting for 6f3eb971
5/9/2024 6:07:48 PM - Details Exporting for 7d099999
5/9/2024 6:07:54 PM - End Exporting for 7d099999
5/9/2024 6:07:54 PM - Details Exporting for 7d099999test
5/9/2024 6:07:58 PM - End Exporting for 7d099999test
5/9/2024 6:07:58 PM - Details Exporting for 7up7down12
5/9/2024 6:08:02 PM - End Exporting for 7up7down12
5/9/2024 6:08:02 PM - Details Exporting for 872ed21c
5/9/2024 6:08:07 PM - End Exporting for 872ed21c
5/9/2024 6:08:07 PM - Details Exporting for algo_matics
5/9/2024 6:08:10 PM - End Exporting for algo_matics
5/9/2024 6:08:10 PM - Details Exporting for arunprakashg1
5/9/2024 6:08:16 PM - End Exporting for arunprakashg1
5/9/2024 6:08:16 PM - Details Exporting for bnstraddler
5/9/2024 6:08:19 PM - End Exporting for bnstraddler
5/9/2024 6:08:19 PM - Details Exporting for charts_india
5/9/2024 6:08:22 PM - End Exporting for charts_india
5/9/2024 6:08:22 PM - Details Exporting for dharanitrades
5/9/2024 6:08:24 PM - End Exporting for dharanitrades
5/9/2024 6:08:24 PM - Details Exporting for financedeft
5/9/2024 6:08:26 PM - End Exporting for financedeft
5/9/2024 6:08:26 PM - Details Exporting for leelakrishnat3
5/9/2024 6:08:28 PM - End Exporting for leelakrishnat3
5/9/2024 6:08:28 PM - Details Exporting for manoj27039
5/9/2024 6:08:31 PM - End Exporting for manoj27039
5/9/2024 6:08:31 PM - Details Exporting for odishatrader
5/9/2024 6:08:33 PM - End Exporting for odishatrader
5/9/2024 6:08:33 PM - Details Exporting for ph0enix07
5/9/2024 6:08:35 PM - End Exporting for ph0enix07
5/9/2024 6:08:36 PM - Details Exporting for quantfortrade
5/9/2024 6:08:37 PM - End Exporting for quantfortrade
5/9/2024 6:08:37 PM - Details Exporting for zeusv70368698
5/9/2024 6:08:39 PM - End Exporting for zeusv70368698
5/9/2024 6:08:39 PM - Details Exporting for _adarshvaish
5/9/2024 6:08:44 PM - End Exporting for _adarshvaish
5/9/2024 6:08:44 PM - Details Exporting for _curious_trader
5/9/2024 6:08:48 PM - End Exporting for _curious_trader
5/9/2024 6:08:48 PM - Details Exporting for a9fate
5/9/2024 6:08:54 PM - End Exporting for a9fate
5/9/2024 6:08:54 PM - Details Exporting for aalintech
5/9/2024 6:08:59 PM - End Exporting for aalintech
5/9/2024 6:08:59 PM - Details Exporting for abeb99e9
5/9/2024 6:09:03 PM - End Exporting for abeb99e9
5/9/2024 6:09:03 PM - Details Exporting for abhisiddtrades
5/9/2024 6:09:09 PM - End Exporting for abhisiddtrades
5/9/2024 6:09:09 PM - Details Exporting for abhrarajc
5/9/2024 6:09:15 PM - End Exporting for abhrarajc
5/9/2024 6:09:15 PM - Details Exporting for ac91a22a
5/9/2024 6:09:19 PM - End Exporting for ac91a22a
5/9/2024 6:09:19 PM - Details Exporting for accurateaakash
5/9/2024 6:09:25 PM - End Exporting for accurateaakash
5/9/2024 6:09:25 PM - Details Exporting for adhikpatil16_1
5/9/2024 6:09:28 PM - End Exporting for adhikpatil16_1
5/9/2024 6:09:28 PM - Details Exporting for adhikpatil16_2
5/9/2024 6:09:29 PM - End Exporting for adhikpatil16_2
5/9/2024 6:09:29 PM - Details Exporting for adhikpatil16_3
5/9/2024 6:09:31 PM - End Exporting for adhikpatil16_3
5/9/2024 6:09:31 PM - Details Exporting for aditya_joshi12
5/9/2024 6:09:34 PM - End Exporting for aditya_joshi12
5/9/2024 6:09:34 PM - Details Exporting for adityakomble
5/9/2024 6:09:39 PM - End Exporting for adityakomble
5/9/2024 6:09:39 PM - Details Exporting for ahamswamy
5/9/2024 6:09:43 PM - End Exporting for ahamswamy
5/9/2024 6:09:43 PM - Details Exporting for ajvasanth28
5/9/2024 6:09:45 PM - End Exporting for ajvasanth28
5/9/2024 6:09:45 PM - Details Exporting for aks_alter
5/9/2024 6:09:50 PM - End Exporting for aks_alter
5/9/2024 6:09:50 PM - Details Exporting for akshataketgale
5/9/2024 6:09:54 PM - End Exporting for akshataketgale
5/9/2024 6:09:54 PM - Details Exporting for algotradingbot
5/9/2024 6:09:59 PM - End Exporting for algotradingbot
5/9/2024 6:09:59 PM - Details Exporting for am9422a
5/9/2024 6:10:06 PM - End Exporting for am9422a
5/9/2024 6:10:06 PM - Details Exporting for amalendu21
5/9/2024 6:10:10 PM - End Exporting for amalendu21
5/9/2024 6:10:10 PM - Details Exporting for amalraj2020
5/9/2024 6:10:15 PM - End Exporting for amalraj2020
5/9/2024 6:10:15 PM - Details Exporting for aman_ch01
5/9/2024 6:10:19 PM - End Exporting for aman_ch01
5/9/2024 6:10:20 PM - Details Exporting for amanchaure14
5/9/2024 6:10:25 PM - End Exporting for amanchaure14
5/9/2024 6:10:25 PM - Details Exporting for amit2021pune
5/9/2024 6:10:30 PM - End Exporting for amit2021pune
5/9/2024 6:10:30 PM - Details Exporting for anandableanand
5/9/2024 6:10:37 PM - End Exporting for anandableanand
5/9/2024 6:10:37 PM - Details Exporting for anuj_lunawat
5/9/2024 6:10:44 PM - End Exporting for anuj_lunawat
5/9/2024 6:10:44 PM - Details Exporting for aptitude_trader
5/9/2024 6:10:49 PM - End Exporting for aptitude_trader
5/9/2024 6:10:49 PM - Details Exporting for arun2404madan
5/9/2024 6:10:53 PM - End Exporting for arun2404madan
5/9/2024 6:10:53 PM - Details Exporting for astrixgaul
5/9/2024 6:10:58 PM - End Exporting for astrixgaul
5/9/2024 6:10:58 PM - Details Exporting for avigaikwad5664
5/9/2024 6:11:01 PM - End Exporting for avigaikwad5664
5/9/2024 6:11:01 PM - Details Exporting for azuregarage
5/9/2024 6:11:06 PM - End Exporting for azuregarage
5/9/2024 6:11:06 PM - Details Exporting for b4a8ae01
5/9/2024 6:11:11 PM - End Exporting for b4a8ae01
5/9/2024 6:11:11 PM - Details Exporting for babumoshai59
5/9/2024 6:11:15 PM - End Exporting for babumoshai59
5/9/2024 6:11:15 PM - Details Exporting for bhavanirudrani
5/9/2024 6:11:20 PM - End Exporting for bhavanirudrani
5/9/2024 6:11:20 PM - Details Exporting for bishnurath0
5/9/2024 6:11:26 PM - End Exporting for bishnurath0
5/9/2024 6:11:26 PM - Details Exporting for bkpuru
5/9/2024 6:11:29 PM - End Exporting for bkpuru
5/9/2024 6:11:29 PM - Details Exporting for bluesapphirecap
5/9/2024 6:11:34 PM - End Exporting for bluesapphirecap
5/9/2024 6:11:34 PM - Details Exporting for braveheart4388
5/9/2024 6:11:39 PM - End Exporting for braveheart4388
5/9/2024 6:11:39 PM - Details Exporting for c0b928a3
5/9/2024 6:11:44 PM - End Exporting for c0b928a3
5/9/2024 6:11:44 PM - Details Exporting for c186afbc
5/9/2024 6:11:49 PM - End Exporting for c186afbc
5/9/2024 6:11:49 PM - Details Exporting for c2e6634c
5/9/2024 6:11:50 PM - End Exporting for c2e6634c
5/9/2024 6:11:50 PM - Details Exporting for ca_sumit4u
5/9/2024 6:11:54 PM - End Exporting for ca_sumit4u
5/9/2024 6:11:54 PM - Details Exporting for capitalkequity
5/9/2024 6:11:59 PM - End Exporting for capitalkequity
5/9/2024 6:11:59 PM - Details Exporting for casham_plums
5/9/2024 6:12:02 PM - End Exporting for casham_plums
5/9/2024 6:12:02 PM - Details Exporting for chainsingh241
5/9/2024 6:12:05 PM - End Exporting for chainsingh241
5/9/2024 6:12:05 PM - Details Exporting for chantipathiwada
5/9/2024 6:12:08 PM - End Exporting for chantipathiwada
5/9/2024 6:12:08 PM - Details Exporting for chart_baba
5/9/2024 6:12:12 PM - End Exporting for chart_baba
5/9/2024 6:12:12 PM - Details Exporting for cprtrader902521
5/9/2024 6:12:17 PM - End Exporting for cprtrader902521
5/9/2024 6:12:17 PM - Details Exporting for crypti0
5/9/2024 6:12:22 PM - End Exporting for crypti0
5/9/2024 6:12:22 PM - Details Exporting for crypti0_v2
5/9/2024 6:12:29 PM - End Exporting for crypti0_v2
5/9/2024 6:12:29 PM - Details Exporting for cryptified_soul
